epoch,train_loss,train_eval,test_loss,test_eval
1,0.16050942063331605,0.6370639157295227,0.06412212818861007,0.42176836371421816
2,0.07140449807047844,0.4286933958530426,0.05370127484202385,0.3802147424221039
3,0.05899959266185761,0.391704922914505,0.04671236395835877,0.35824400186538696
4,0.05681896060705185,0.3864606237411499,0.04552382081747055,0.35458471179008483
5,0.05366308063268661,0.3754628396034241,0.047671850323677066,0.3618526840209961
6,0.05210374981164932,0.36944240689277646,0.04686941236257553,0.35824949383735655
7,0.050841111540794376,0.3658643865585327,0.049258738458156585,0.36488775014877317
8,0.049642117768526076,0.3581117928028107,0.04887784957885742,0.36401397943496705
9,0.04850021421909332,0.3537797319889069,0.048873060643672944,0.3646575689315796
10,0.046752429455518725,0.34951107025146483,0.04856040835380554,0.36263141870498655
